ID TRAMO;TRAMO;DISTRITO
A_BDB;Aislado Brisas de Bolívar;D1
A_CSNP;Aislado Cantagallo - San Pablo;D1
A_GTMB4;"Aislado Estación Galán - Termobarranca  4""";D1
A_GTMB6;"Aislado Estación Galán - Termobarranca  6""";D1
A_GY;Aislado Estación Galán - Yondó;D1
A_SNVP;Aislado San Vicente de Chucuri;D1
A_YM;Aislado Yopal - Morichal;D4
A_YWIL;Aislado Yariguies -Puerto Wilches;D1
L_ARM;LOOP Armenia;D8
L_BEL_VAS;LOOP La Belleza - Vasconia;D1
L_BEL_VAS1;LOOP La Belleza - Vasconia;D3
L_CUS_MIR;LOOP Cusiana - Miraflores;D4
L_CUS_MIR1;LOOP Cusiana - Miraflores;D5
L_MIR_PGU;LOOP Miraflores - Puente Guillermo;D5
L_PGI_BEL;Loop Puente Guillermo – La Belleza;D5
L_POR_MIR;Loop Porvenir - Miraflores;D5
L_PRO_VAS;Loop Puerto Romero - Hub Vasconia;D1
R_ACA;Ramal Acacías Madigas-Acacías Llanogas;D4
R_AGU;Ramal Aguachica  PK 424+920;D1
R_AGUZ;Ramal Aguazul ;D4
R_AIP;Ramal Aipe  PK 543+400;D2
R_ALB;Ramal Albania;D3
R_ALV;Ramal Alvarado  PK 371+600;D2
R_AMB;Ramal Ambalema;D2
R_AMR;Ramal EDS Amarillos;D1
R_AND;Ramal Andalucía;D8
R_ANS;Ramal Ansermanuevo;D7
R_ARC;Ramal Arcabuco;D5
R_ARM;Ramal Armenia;D7
R_BAL;Ramal Balboa;D7
R_BAN;Ramal El Banco;D6
R_BAR;Ramal Barbosa;D5
R_BARR;Ramal Barrancas;D6
R_BEC;Ramal Becerril;D6
R_BGAZ;Ramal EDS Buga Gazel;D8
R_BGL;Ramal EDS Buga Guadalajara;D8
R_BLC;Ramal Belencito  PK 85+200;D5
R_BLG;Ramal Bugalagrande;D8
R_BLN;Ramal Belén  29+100 (PK 69+950);D5
R_BOL;Ramal Bolívar;D5
R_BRC;Ramal Briceño;D3
R_BUG;Ramal Buga;D8
R_BUR;Ramal El Burro PK 359+751;D6
R_CAI;Ramal Caicedonia PK 218+846;D8
R_CAP;Ramal Capellanía;D3
R_CAQ;Ramal Cáqueza;D4
R_CAR;Ramal Cartago;D8
R_CAS;Ramal Casacará;D6
R_CEL;Ramal La Celia;D7
R_CER;Ramal El Cerrito;D8
R_CEZ;Ramal Cerinza;D5
R_CGCAS;Ramal Castilla PK 470+600;D2
R_CHI;Ramal Chicoral  PK 421+240;D2
R_CHIN;Ramal Chinchiná;D7
R_CHIPQ;Ramal Chipaque;D4
R_CHIPT;Ramal Chipatá;D5
R_CHIR;Ramal Chiriguaná;D6
R_CHQ;Ramal Chiquinquirá;D3
R_CHT;Ramal Chitaraque;D5
R_CHV;Ramal Chivata;D5
R_CIB;Ramal CIB ECP;D1
R_CIR;Ramal Circasia  (PK 7+641);D7
R_CLD;Ramal Caldas;D3
R_CLR;Ramal Calarcá ;D7
R_CMX;Ramal Cemex  PK 402+300;D2
R_COD;Ramal Agustín Codazzi  214+547;D6
R_COM;Ramal Cómbita;D5
R_CUB;Ramal Cucunubá;D3
R_CUC;Ramal Cucaita;D5
R_CUM;Ramal Cumaral   (8+500);D4
R_CUR;Ramal Curumaní;D6
R_DCO;Ramal Diaco  PK 42+100;D5
R_DOI;Ramal Doima;D2
R_DOQ;Ramal Dos Quebradas;D7
R_DOR;Ramal La Dorada  (9+600);D2
R_DUI;Ramal Duitama;D5
R_EBAR;Ramal EDS Barbosa  PK 21+420;D5
R_ECCAN;Ramal Ecopetrol - Cantagallo;D1
R_EDSMON;Ramal EDS Montearroyo;D5
R_EDSUBA;Ramal EDS Ubaté;D3
R_EDV;Ramal EDS Valledupar;D6
R_ELM;Ramal El Molino;D6
R_EMC;Ramal EDS Madigas;D4
R_EPR;Ramal El Prado  (16+000);D2
R_FIL;Ramal Filandia;D7
R_FLN;Ramal Florián  PK 6+953;D3
R_FLO;Ramal Floresta;D5
R_FLOR;Ramal Florida;D8
R_FON;Ramal Fonseca  PK 105+529;D6
R_FOR;Ramal Fortalecillas  Pk 7+611;D2
R_FOS;Ramal Fosca;D4
R_FRE;Ramal Fresno  PK19+140;D7
R_FUQ;Ramal Fuquene;D3
R_GAM;Ramal Gamarra;D1
R_GBA;Ramal Gases de Barrancabermeja;D1
R_GCC;Ramal EDS Buga Cañaduzal;D8
R_GIN;Ramal Ginebra;D8
R_GMO;Ramal Guamo  PK 440+325;D2
R_GSM;Ramal GNV Sol San Martin;D5
R_GUA;Ramal Gualanday;D2
R_GUAC;Ramal Guacarí  PK 306+081;D8
R_GUAT;Ramal Guatancuy;D3
R_GUAY;Ramal Guayabetal  PK 62+530;D4
R_GUE;Ramal Guepsa ;D5
R_GVT;Ramal Guavatá  9+250;D5
R_GYB;Ramal Guayabal  PK 313+053;D2
R_HAT;Ramal Hato Nuevo;D6
R_HER;Ramal Herveo  PK 50+978;D7
R_HOC;Ramal Hocol;D2
R_HON;Ramal Honda;D2
R_IBA;Ramal Ibagué  PK 401+100;D2
R_IBI;Ramal La Jagua de Ibirico;D6
